S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Constituency Name,State,Serial No.
4,BHITORA BHAVESHKUMAR CHIMANLAL,Gujarat Loktantra Party,2443,15,2458,0.25,Ahmedabad West,Gujarat,23
5,SHANKARBHAI KHUSHALBHAI RATHOD,Democratic Bharatiya Samaj Party,2345,44,2389,0.25,Ahmedabad West,Gujarat,24
6,VEDUBHAI KAUTIKBHAI SIRASAT,Jan Sewa Driver Party,1214,7,1221,0.13,Ahmedabad West,Gujarat,25
7,NOTA,None of the Above,13604,403,14007,1.45,Ahmedabad West,Gujarat,26
1,BHARATBHAI MANUBHAI SUTARIYA,Bharatiya Janata Party,577820,3052,580872,66.28,Amreli,Gujarat,27
2,JENNY THUMMAR,Indian National Congress,258231,1573,259804,29.64,Amreli,Gujarat,28
3,CHAUHAN RAVAJIBHAI MULABHAI,Bahujan Samaj Party,7486,57,7543,0.86,Amreli,Gujarat,29
4,SANKHAT VIKRAMBHAI VISABHAI,Global Republican Party,4958,51,5009,0.57,Amreli,Gujarat,30
5,BAVKUBHAI AMARUBHAI VALA,Independent,3733,44,3777,0.43,Amreli,Gujarat,31
6,BHAVESHBHAI JENTIBHAI RANK,Independent,3663,8,3671,0.42,Amreli,Gujarat,32
7,PUNJABHAI BAVBHAI DAFDA,Independent,2598,23,2621,0.3,Amreli,Gujarat,33
8,PRITESH CHAUHAN (LALU),Independent,1759,21,1780,0.2,Amreli,Gujarat,34
9,NOTA,None of the Above,11125,224,11349,1.29,Amreli,Gujarat,35
1,MITESH PATEL (BAKABHAI),Bharatiya Janata Party,607394,5090,612484,52.44,Anand,Gujarat,36
2,AMIT CHAVDA,Indian National Congress,516453,6092,522545,44.74,Anand,Gujarat,37
3,SURESHBHAI DHULABHAI PATEL,Bahujan Samaj Party,5778,53,5831,0.5,Anand,Gujarat,38
4,BHOI ASHISHKUMAR THAKORBHAI,Independent,5525,17,5542,0.47,Anand,Gujarat,39
5,KEYURBHAI PRAVINBHAI PATEL (BAKABHAI),Independent,2290,8,2298,0.2,Anand,Gujarat,40
6,DHEERAJKUMAR KSHATRIYA,Garib Kalyan Party,1723,24,1747,0.15,Anand,Gujarat,41
7,BHATT SUNILKUMAR NARENDRABHAI,Right to Recall Party,1584,8,1592,0.14,Anand,Gujarat,42
8,NOTA,None of the Above,15679,251,15930,1.36,Anand,Gujarat,43
